movieId,userId,rating,timestamp,label,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
2,10436,4.0,1254724857,1,1995,Adventure,Children,Fantasy,4853,3.21,0.96,586,141,39,34,500,23,1988,14.36,4.26,0.45,Comedy,Adventure,Children,Musical,Fantasy
750,10436,4.5,1254724879,1,1964,Comedy,War,"",5151,4.24,0.88,2,586,141,39,34,24,1989,14.10,4.25,0.44,Comedy,Adventure,Children,Fantasy,Musical
356,11078,2.0,1286031632,0,1994,Comedy,Drama,Romance,14426,4.03,0.95,296,20,232,"","",3,1994,0.58,3.83,0.29,Drama,Comedy,Thriller,Crime,Action
150,11078,4.0,1286031651,1,1995,Adventure,Drama,IMAX,10324,3.86,0.86,457,593,296,20,232,8,1993,1.28,3.50,0.80,Thriller,Crime,Drama,Comedy,Action
380,11078,3.5,1286033644,1,1994,Action,Adventure,Comedy,9364,3.48,0.93,527,922,628,47,50,18,1991,10.54,3.61,0.63,Thriller,Drama,Crime,Comedy,Mystery
356,13192,4.5,1268616151,1,1994,Comedy,Drama,Romance,14426,4.03,0.95,541,47,296,293,750,8,1986,12.06,4.12,0.95,Thriller,Drama,Crime,Action,War
588,13192,4.0,1268616202,1,1992,Adventure,Animation,Children,8980,3.67,0.92,380,590,780,589,1,20,1989,8.77,4.35,0.67,Action,Thriller,Drama,Adventure,Sci-Fi
928,13282,4.0,1334809000,1,1940,Drama,Mystery,Romance,1000,4.10,0.80,903,783,661,596,"",4,1972,28.11,3.75,0.29,Musical,Children,Animation,Romance,Fantasy
920,13442,0.5,1424689661,0,1939,Drama,Romance,War,3103,3.82,1.10,778,593,"","","",6,1990,7.37,2.92,1.20,Crime,Thriller,Horror,Drama,Comedy
912,14369,5.0,1293677647,1,1942,Drama,Romance,"",5256,4.27,0.85,541,595,588,924,780,16,1987,12.61,4.00,0.66,Adventure,Action,Sci-Fi,Drama,Thriller
380,14369,3.5,1293689836,1,1994,Action,Adventure,Comedy,9364,3.48,0.93,919,940,593,858,50,23,1981,19.86,4.13,0.66,Adventure,Drama,Action,Sci-Fi,Thriller
595,18306,4.5,1351187548,1,1991,Animation,Children,Fantasy,7539,3.65,0.98,374,1,500,586,"",4,1993,2.16,4.75,0.29,Comedy,Children,Adventure,Fantasy,Drama
924,23318,4.5,1299123421,1,1968,Adventure,Drama,Sci-Fi,5530,3.95,1.05,1,434,587,593,480,10,1992,2.06,4.10,0.46,Adventure,Drama,Action,Thriller,Comedy
648,23318,3.5,1300483108,1,1996,Action,Adventure,Mystery,8117,3.37,0.90,457,924,1,434,587,16,1989,9.58,3.59,1.10,Adventure,Drama,Thriller,Action,Sci-Fi
719,25969,3.5,1342272688,1,1996,Comedy,"","",1683,2.94,0.96,296,589,110,36,367,13,1994,1.30,3.96,0.95,Thriller,Action,Crime,Sci-Fi,Mystery
