movieId,userId,rating,timestamp,label,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
1,14887,3.0,830155608,0,1995,Adventure,Animation,Children,10759,3.91,0.89,349,590,150,592,"",6,1992,2.64,3.67,0.52,Drama,Action,Thriller,Adventure,Crime
10,11888,1.0,845674484,0,1995,Action,Adventure,Thriller,6330,3.42,0.87,318,480,231,595,588,22,1993,1.70,3.36,1.14,Comedy,Thriller,Adventure,Crime,Action
10,27990,4.0,1197772963,1,1995,Action,Adventure,Thriller,6330,3.42,0.87,231,316,595,165,648,46,1989,12.99,3.37,1.00,Drama,Adventure,Crime,Thriller,Comedy
135,27108,5.0,865275107,1,1996,Comedy,"","",1390,3.00,1.06,802,104,653,494,260,25,1994,3.76,3.52,1.33,Action,Thriller,Adventure,Sci-Fi,Romance
15,23843,4.0,839634055,1,1995,Action,Adventure,Romance,634,2.71,1.06,585,468,381,303,529,100,1993,5.75,3.58,0.68,Drama,Thriller,Romance,Comedy,Action
150,21259,4.0,1083866104,1,1995,Adventure,Drama,IMAX,10324,3.86,0.86,592,457,480,356,593,13,1986,17.00,4.35,0.97,Comedy,Thriller,Action,Crime,Drama
150,26112,4.0,966792800,1,1995,Adventure,Drama,IMAX,10324,3.86,0.86,933,431,589,50,111,72,1987,15.91,3.36,0.92,Romance,Comedy,Drama,Crime,Thriller
162,23843,4.0,839631925,1,1994,Documentary,"","",1303,4.05,0.95,563,73,515,159,261,81,1992,6.96,3.75,1.10,Drama,Romance,Thriller,Comedy,Children
165,20158,4.5,1155354279,1,1995,Action,Crime,Thriller,7392,3.50,0.89,648,50,377,608,32,29,1991,8.12,3.78,0.91,Thriller,Action,Adventure,Drama,Crime
17,675,3.0,866213736,0,1995,Drama,Romance,"",4556,3.97,0.94,32,"","","","",3,1995,0.58,3.00,1.00,Sci-Fi,Thriller,Mystery,"",""
173,28135,3.0,850846407,0,1995,Action,Crime,Sci-Fi,3208,2.56,1.02,924,234,912,368,153,62,1991,8.77,3.69,0.82,Drama,Comedy,Thriller,Romance,Adventure
176,17401,3.0,953843256,0,1995,Comedy,"","",505,3.89,0.85,953,919,968,260,858,59,1989,12.72,3.42,0.95,Comedy,Thriller,Action,Drama,Crime
186,2162,3.0,836418422,0,1995,Comedy,Romance,"",2425,2.89,0.99,377,440,11,589,480,37,1993,1.49,3.81,1.00,Drama,Adventure,Action,Thriller,Romance
20,1512,4.0,838990924,1,1995,Action,Comedy,Crime,873,2.89,0.93,280,485,276,105,224,62,1992,7.54,3.69,0.69,Drama,Action,Comedy,Thriller,Romance
204,2162,4.0,836418450,1,1995,Action,"","",1782,2.97,1.06,261,377,440,11,589,39,1993,1.47,3.82,1.00,Drama,Adventure,Action,Thriller,Romance
253,16576,3.0,835020022,0,1994,Drama,Horror,"",6010,3.50,0.94,208,161,329,434,292,18,1993,1.85,3.78,0.65,Adventure,Drama,Action,Thriller,Sci-Fi
253,28426,4.5,1068854806,1,1994,Drama,Horror,"",6010,3.50,0.94,799,780,370,380,150,26,1993,2.74,4.12,0.99,Comedy,Action,Thriller,Drama,Adventure
253,2904,3.0,832706296,0,1994,Drama,Horror,"",6010,3.50,0.94,300,318,150,296,"",16,1993,1.34,3.19,0.91,Drama,Crime,Thriller,Adventure,IMAX
258,21331,4.0,836938492,1,1995,Adventure,Children,Comedy,365,2.59,1.04,188,340,378,421,274,100,1993,6.43,4.25,0.94,Drama,Comedy,Romance,Action,Thriller
267,21331,5.0,836937729,1,1995,Comedy,"","",813,2.91,1.12,616,491,249,281,60,100,1993,6.26,4.38,0.93,Drama,Romance,Comedy,Action,Thriller
272,27248,4.0,962796038,1,1994,Comedy,Drama,"",1708,3.76,0.88,515,300,58,949,971,18,1977,21.98,3.83,0.71,Drama,Romance,Action,Thriller,Adventure
