movieId,userId,rating,timestamp,label,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
588,10436,4.5,1254724566,1,1992,Adventure,Animation,Children,8980,3.67,0.92,356,593,592,480,899,12,1984,19.03,4.50,0.30,Adventure,Children,Comedy,Fantasy,Musical
368,10436,5.0,1254725253,1,1994,Adventure,Comedy,Western,3756,3.39,0.89,104,750,2,586,141,26,1988,14.47,4.23,0.45,Comedy,Adventure,Children,Fantasy,Musical
50,11078,3.5,1286031899,1,1995,Crime,Mystery,Thriller,10221,4.35,0.75,608,1,150,457,593,13,1994,1.32,3.58,0.73,Comedy,Drama,Thriller,Crime,Adventure
527,11078,4.0,1286033640,1,1993,Drama,War,"",11017,4.30,0.83,922,628,47,50,608,17,1991,10.86,3.59,0.64,Thriller,Drama,Crime,Comedy,Mystery
733,11078,4.0,1286033684,1,1996,Action,Adventure,Thriller,6837,3.65,0.92,377,588,380,527,922,23,1992,9.35,3.59,0.60,Thriller,Drama,Comedy,Crime,Romance
780,11563,4.0,1217544970,1,1996,Action,Adventure,Sci-Fi,10271,3.37,1.06,193,500,353,253,296,15,1993,5.93,3.93,0.96,Drama,Thriller,Crime,Comedy,Horror
292,11563,4.5,1217545166,1,1995,Action,Drama,Sci-Fi,5649,3.40,0.86,231,597,364,648,344,34,1993,4.21,3.51,1.19,Drama,Thriller,Comedy,Adventure,Action
367,11563,2.0,1217545891,0,1994,Action,Comedy,Crime,7577,3.16,1.00,150,292,231,597,364,40,1993,3.95,3.26,1.42,Drama,Thriller,Adventure,Comedy,Action
500,11722,4.0,1157339699,1,1993,Comedy,Drama,"",7349,3.39,0.96,50,349,151,16,527,22,1993,1.10,3.98,0.63,Drama,Thriller,Action,War,Adventure
590,11722,4.0,1157339740,1,1990,Adventure,Drama,Western,9497,3.72,0.97,500,50,349,151,16,23,1993,1.09,3.98,0.61,Drama,Thriller,Action,War,Adventure
593,12529,4.5,1164593481,1,1991,Crime,Horror,Thriller,13692,4.18,0.85,356,858,318,902,"",8,1987,13.47,3.31,0.70,Drama,Romance,Crime,Comedy,War
377,13192,3.5,1268616207,1,1994,Action,Romance,Thriller,9053,3.49,0.94,588,380,590,780,589,21,1989,8.57,4.33,0.66,Action,Thriller,Drama,Adventure,Comedy
783,13282,3.5,1334807864,1,1996,Animation,Children,Drama,2215,3.25,1.09,661,596,"","","",2,1968,39.60,3.75,0.35,Animation,Children,Fantasy,Musical,Adventure
928,13282,4.0,1334809000,1,1940,Drama,Mystery,Romance,1000,4.10,0.80,903,783,661,596,"",4,1972,28.11,3.75,0.29,Animation,Children,Musical,Fantasy,Drama
902,13282,4.0,1334809566,1,1961,Drama,Romance,"",2112,3.85,0.92,1,916,928,903,783,7,1968,26.42,3.79,0.27,Animation,Children,Drama,Romance,Fantasy
111,13442,2.0,1424689417,0,1976,Crime,Drama,Thriller,5305,4.12,0.85,593,"","","","",4,1993,1.41,2.62,0.75,Crime,Horror,Thriller,"",""
608,13610,2.0,1212215405,0,1996,Comedy,Crime,Drama,9505,4.09,0.93,480,648,780,457,593,15,1992,5.55,3.57,0.80,Thriller,Action,Sci-Fi,Adventure,Mystery
316,13610,2.5,1212216207,0,1994,Action,Adventure,Sci-Fi,6915,3.35,0.94,595,364,380,480,648,22,1991,7.05,3.34,0.82,Thriller,Action,Sci-Fi,Adventure,Mystery
260,14157,3.5,1183483587,1,1977,Action,Adventure,Sci-Fi,11958,4.19,0.91,593,858,"","","",3,1986,12.29,3.50,0.87,Crime,Drama,Horror,Thriller,""
296,14157,5.0,1183483686,1,1994,Comedy,Crime,Drama,14616,4.17,0.98,260,593,858,"","",4,1983,11.00,3.50,0.71,Crime,Drama,Horror,Thriller,Action
588,14157,4.0,1183483744,1,1992,Adventure,Animation,Children,8980,3.67,0.92,1,296,260,593,858,10,1989,8.18,3.50,0.85,Crime,Drama,Thriller,Adventure,Comedy
153,14157,2.0,1183483759,0,1995,Action,Adventure,Comedy,7100,2.89,0.95,344,588,1,296,260,13,1990,7.23,3.46,0.80,Comedy,Crime,Adventure,Drama,Thriller
173,14157,3.0,1183484192,0,1995,Action,Crime,Sci-Fi,3208,2.56,1.02,19,586,500,344,588,22,1991,6.01,3.25,0.75,Comedy,Crime,Drama,Adventure,Children
588,14369,4.0,1293674606,1,1992,Adventure,Animation,Children,8980,3.67,0.92,924,780,1,589,150,11,1986,14.99,4.32,0.40,Drama,Adventure,Action,Sci-Fi,Romance
175,15555,4.5,1157948217,1,1995,Drama,"","",1043,3.50,1.10,480,765,253,356,608,12,1994,1.42,4.04,0.26,Drama,Comedy,Thriller,Crime,Romance
648,15555,4.0,1157948244,1,1996,Action,Adventure,Mystery,8117,3.37,0.90,180,364,175,480,765,15,1994,1.29,4.10,0.28,Drama,Comedy,Thriller,Romance,Crime
282,15555,4.5,1157948273,1,1994,Drama,"","",2426,3.39,1.00,288,719,62,648,180,19,1994,1.26,4.08,0.30,Drama,Comedy,Thriller,Crime,Romance
441,15634,3.0,1191620251,0,1993,Comedy,"","",1775,3.69,0.97,431,"","","","",2,1994,1.41,2.75,1.06,Crime,Drama,"","",""
637,15634,1.5,1191620287,0,1996,Comedy,"","",1246,2.82,1.01,306,170,431,"","",5,1994,1.00,3.10,0.65,Crime,Drama,Action,Adventure,Thriller
741,16974,4.0,1227451057,1,1995,Animation,Sci-Fi,"",1542,3.93,0.91,541,750,912,69,107,7,1981,21.13,4.07,0.67,Comedy,Adventure,Children,Musical,Drama
589,16974,3.5,1227451134,1,1991,Action,Sci-Fi,"",11483,3.94,0.90,778,741,541,750,912,9,1984,19.31,4.06,0.58,Comedy,Drama,Sci-Fi,Adventure,Children
318,16974,4.0,1227451447,1,1994,Crime,Drama,"",13826,4.45,0.72,10,661,260,671,589,14,1986,16.11,4.07,0.58,Comedy,Sci-Fi,Adventure,Action,Children
165,16974,4.5,1227452086,1,1995,Action,Crime,Thriller,7392,3.50,0.89,344,377,648,588,780,32,1990,11.52,3.72,0.90,Comedy,Adventure,Action,Thriller,Drama
339,16974,3.0,1227452178,0,1995,Comedy,Romance,"",5030,3.52,0.92,586,208,292,367,231,44,1991,9.98,3.74,0.79,Adventure,Action,Comedy,Thriller,Drama
551,16974,4.0,1227452322,1,1993,Animation,Children,Fantasy,4460,3.71,0.97,786,442,19,2,919,53,1990,12.08,3.74,0.74,Adventure,Action,Comedy,Thriller,Drama
497,16974,3.5,1227452486,1,1993,Comedy,Romance,"",3047,3.88,0.91,173,3,160,420,920,65,1988,15.54,3.69,0.71,Action,Adventure,Comedy,Thriller,Drama
432,16974,3.5,1227452550,1,1994,Adventure,Comedy,Western,2737,2.74,0.94,520,435,497,173,3,69,1988,15.13,3.68,0.69,Comedy,Action,Adventure,Thriller,Drama
116,16974,1.0,1227452775,0,1995,Documentary,"","",204,4.00,1.02,180,805,543,158,485,75,1989,14.58,3.69,0.67,Comedy,Adventure,Action,Thriller,Drama
923,17427,2.0,1143420582,0,1941,Drama,Mystery,"",3926,4.13,0.96,16,"","","","",2,1994,1.41,3.50,0.71,Crime,Drama,"","",""
587,17427,3.5,1143584712,1,1990,Comedy,Drama,Fantasy,6405,3.43,1.00,733,912,589,318,480,16,1985,18.17,3.75,0.73,Drama,Crime,Thriller,Action,War
10,17427,3.5,1143584737,1,1995,Action,Adventure,Thriller,6330,3.42,0.87,587,733,912,589,318,20,1987,16.48,3.62,0.70,Drama,Crime,Thriller,Comedy,Romance
431,17427,4.0,1143764628,1,1993,Crime,Drama,"",1907,3.68,0.84,6,293,47,10,587,24,1988,15.24,3.67,0.65,Thriller,Drama,Crime,Action,Comedy
780,17686,1.0,1195553526,0,1996,Action,Adventure,Sci-Fi,10271,3.37,1.06,18,"","","","",6,1994,0.82,3.00,1.05,Comedy,"","","",""
736,17686,1.0,1195554954,0,1996,Action,Adventure,Romance,6990,3.18,1.02,153,588,480,364,50,27,1991,9.41,3.19,1.46,Comedy,Drama,Adventure,Action,Crime
367,17686,1.5,1195555005,0,1994,Action,Comedy,Crime,7577,3.16,1.00,500,153,588,480,364,34,1991,8.46,3.01,1.48,Comedy,Drama,Adventure,Action,Crime
39,17686,4.0,1195555084,1,1995,Comedy,Romance,"",5741,3.42,0.98,253,539,587,500,153,40,1992,7.83,2.94,1.48,Comedy,Drama,Thriller,Adventure,Romance
555,18574,4.0,1196725225,1,1993,Crime,Thriller,"",3312,3.80,0.90,50,223,318,180,671,39,1987,14.57,3.01,1.10,Drama,Comedy,Crime,Romance,Thriller
912,18634,3.5,1140925424,1,1942,Drama,Romance,"",5256,4.27,0.85,858,920,509,"","",6,1976,22.70,3.67,0.88,Drama,Romance,War,Crime,""
